Producto,Cantidad,Unidad de medida,Tipo de lista de materiales,Componente,Cantidad de componente,Unidad de medida del componente
,,,,[MPAH8267] ACETYL HEXAPEPTIDO-8,0.1,g
,,,,[MPSME134] SILYBUM MARIANUM EXTRACT,0.1,g
,,,,[MPBAK284] BAKUCHIOL,1.5,g
[CRCUREA] CRCUREA,1000,g,Fabricar este producto,[MPAQ001] AQUA,642.0,g
,,,,[MPNIA156] NIACINAMIDE,20.0,g
,,,,[MPURE017] UREA,100.0,g
,,,,[MPGLE263] GLYCERIN,50.0,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,⚠️ CREAR EN ODOO: QUINCREAM,20.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPMDI186] MIRISTRATO DE ISOPROPILO,10.0,g
,,,,[MPDIM075] DIMETHICONE,50.0,g
,,,,[MPDAD067] DIBUTYL ADIPATE,20.0,g
,,,,[MPTOC059] TOCOPHEROL,5.0,g
,,,,[MPSJO166] SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,10.0,g
,,,,[MPASK020] ARGANIA SPINOSA KERNEL OIL,10.0,g
,,,,[MPPPI044] PARFUM PISTACHO,2.0,g
,,,,[MPYCR060] PARFUM YOGURT CREMOSO,1.0,g
[CUREA] CUREA,1000,g,Fabricar este producto,[MPAH5123] HYALURONIC ACID 50KD,3.0,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,3.0,g
,,,,[MPASA094] SALICYLIC ACID,1.0,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,[MPAQ001] AQUA,617.0,g
,,,,[MPURE017] UREA,100.0,g
,,,,[MPACE098] CETYL ALCOHOL,40.0,g
,,,,[MPSJO166] SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,10.0,g
,,,,[MPDIM075] DIMETHICONE,20.0,g
,,,,[MPAAC120] ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,4.0,g
,,,,[MPSME134] SILYBUM MARIANUM EXTRACT,1.0,g
,,,,[MPACT018] ACIDO TRAXENAMICO,20.0,g
,,,,[MPNIA156] NIACINAMIDE,20.0,g
,,,,[MPGGR133] GLYCYRRHIZA GLABRA ROOT,0.5,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,0.5,g
,,,,[MPAB2100] ALOE BARBADENSIS LEAF JUICE,3.0,g
,,,,[MPSBE101] SODIUM BENZOATE,3.0,g
,,,,[MPPSO013] POTASSIUM SORBATE,3.0,g
,,,,[MPPHT250] PHENOXYETHANOL,5.0,g
,,,,[MPTOC059] TOCOPHEROL,10.0,g
,,,,[MPPAN032] D-PANTENOL SÓLIDO,20.0,g
,,,,[MPALL097] ALLANTOIN,5.0,g
,,,,[MPBET103] BETAINE,10.0,g
,,,,⚠️ CREAR EN ODOO: BISABOLOL,1.0,g
,,,,[MPP80057] POLYSORBATE 80,10.0,g
,,,,[MPP20056] POLYSORBATE 20,40.0,g
[B3+BHA] B3+BHA,1000,g,Fabricar este producto,[MPAQ001] AQUA,751.0,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,[MPURE017] UREA,50.0,g
,,,,[MPNIA156] NIACINAMIDE,50.0,g
,,,,[MPACE098] CETYL ALCOHOL,30.0,g
,,,,[MPLCA125] L- CARNITINA,10.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPTEA070] TRIETHANOLAMINE,10.0,g
,,,,[MPDIM075] DIMETHICONE,5.0,g
,,,,[MPTOC059] TOCOPHEROL,5.0,g
,,,,[MPALL097] ALLANTOIN,5.0,g
,,,,[MPAAC120] ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,4.0,g
,,,,[MPCAR084] CARBOMER,3.5,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,3.0,g
,,,,[MPASA094] SALICYLIC ACID,3.0,g
,,,,[MPPSO013] POTASSIUM SORBATE,3.0,g
,,,,[MPSBE101] SODIUM BENZOATE,3.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,2.0,g
,,,,[MPSME134] SILYBUM MARIANUM EXTRACT,1.0,g
,,,,[MPAKO095] KOJIC ACID,1.0,g
,,,,[MPAB2100] ALOE BARBADENSIS LEAF JUICE,0.5,g
[HKJ] HKJ,1000,g,Fabricar este producto,[MPAQ001] AQUA,724.0,g
,,,,[MPURE017] UREA,15.0,g
,,,,[MPSQU054] SQUALENE,15.0,g
,,,,[MPDIM075] DIMETHICONE,15.0,g
,,,,[MPAAC120] ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,4.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,3.5,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,[MPBEG102] BETA-GLUCAN,1.0,g
,,,,[MPNIA156] NIACINAMIDE,50.0,g
,,,,[MPUPA136] UNDECYLENOYL PHENYL ALANINE,20.0,g
,,,,⚠️ CREAR EN ODOO: GIGA WHITE EXTRACT,1.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPTOC059] TOCOPHEROL,3.0,g
,,,,[MPPAN032] D-PANTENOL SÓLIDO,1.0,g
,,,,[MPGGR133] GLYCYRRHIZA GLABRA ROOT,0.5,g
,,,,[MPALP121] ALPHA-ARBUTIN,20.0,g
,,,,[MPLTH154] L-THEANINA,1.0,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,3.0,g
,,,,[MPCAR084] CARBOMER,3.0,g
,,,,[MPACE098] CETYL ALCOHOL,40.0,g
,,,,[MPNAG088] N-ACETYL GLUCOSAMINE,20.0,g
[EMLIM] EMLIM,1000,g,Fabricar este producto,[MPAQ001] AQUA,785.0,g
,,,,[MPXAG126] XANTHAN GUM,4.0,g
,,,,[MPGLE263] GLYCERIN,40.0,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,0.5,g
,,,,[MPBEG102] BETA-GLUCAN,3.0,g
,,,,[MPAB2100] ALOE BARBADENSIS LEAF JUICE,0.5,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,10.0,g
,,,,[MPALL097] ALLANTOIN,3.0,g
,,,,⚠️ CREAR EN ODOO: PROBETAINE,25.0,g
,,,,[MPLAG249] LAURYL GLUCOSIDE,30.0,g
,,,,[MPC14259] SODIUM C14-16 OLEFIN SULFONATE,15.0,g
,,,,[MPP80057] POLYSORBATE 80,23.0,g
,,,,[MPPHT250] PHENOXYETHANOL,8.0,g
,,,,[MPACC093] CITRIC ACID,2.0,g
,,,,[MPCAD030] BM600 CYCLOPENTASILOXANO AND DIMETHICONE CROSSPOLYMER,17.0,g
,,,,[MPSJO166] SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,10.0,g
,,,,[MPCCT077] CAPRYLIC/CAPRIC TRIGLYCERIDE,15.0,g
,,,,[MPTOC059] TOCOPHEROL,5.0,g
,,,,[MPYCR060] PARFUM YOGURT CREMOSO,3.0,g
,,,,[MPPFL043] PARFUM FRESA LIPS,1.0,g
[ECENT] ECENT,1000,g,Fabricar este producto,[MPAQ001] AQUA,920.5,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,3.0,g
,,,,[MPGLE263] GLYCERIN,30.0,g
,,,,[MPGLN090] GLYCINE,0.5,g
,,,,[MPGLT091] GLUCONOLACTONE,5.0,g
,,,,[MPGGR133] GLYCYRRHIZA GLABRA ROOT,1.0,g
,,,,[MPNIA156] NIACINAMIDE,20.0,g
,,,,[MPBET103] BETAINE,3.0,g
,,,,[MPECT148] ECTOIN,3.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPASI144] CENTELLA ASIATICA EXTRACT ASIATICOSIDE 95%,1.0,g
,,,,[MPTRI145] CENTELLA ASIATICA EXTRACT TRITERPENOS 80%,1.0,g
,,,,[MPBEG102] BETA-GLUCAN,0.5,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,1.5,g
[EILU] EILU,1000,g,Fabricar este producto,[MPASA094] SALICYLIC ACID,0.5,g
,,,,[MPGLT091] GLUCONOLACTONE,10.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,3.0,g
,,,,[MPAH3122] HYALURONIC ACID 300KD,1.0,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,[MPLTH154] L-THEANINA,0.5,g
,,,,[MPPSO013] POTASSIUM SORBATE,3.0,g
,,,,[MPSBE101] SODIUM BENZOATE,3.0,g
,,,,[MPAKO095] KOJIC ACID,20.0,g
,,,,[MPSBI081] SODIUM BICARBONATE,4.5,g
,,,,[MPSME134] SILYBUM MARIANUM EXTRACT,3.0,g
,,,,[MPALA063] LACTIC ACID,10.0,g
,,,,[MPAQ001] AQUA,891.5,g
[GELH] GELH,1000,g,Fabricar este producto,[MPAQ001] AQUA,764.8,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,[MPURE017] UREA,30.0,g
,,,,[MPGLE263] GLYCERIN,30.0,g
,,,,[MPACT018] ACIDO TRAXENAMICO,30.0,g
,,,,[MPACE098] CETYL ALCOHOL,22.5,g
,,,,[MPNIA156] NIACINAMIDE,20.0,g
,,,,[MPDIM075] DIMETHICONE,12.5,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPBET103] BETAINE,5.0,g
,,,,[MPALL097] ALLANTOIN,5.0,g
,,,,[MPAAC120] ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,4.0,g
,,,,[MPPAN032] D-PANTENOL SÓLIDO,3.0,g
,,,,[MPPSO013] POTASSIUM SORBATE,3.0,g
,,,,[MPSBE101] SODIUM BENZOATE,3.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,2.0,g
,,,,[MPAH3122] HYALURONIC ACID 300KD,2.0,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,2.0,g
,,,,[MPAB2100] ALOE BARBADENSIS LEAF JUICE,0.5,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,0.3,g
,,,,[MPGGR133] GLYCYRRHIZA GLABRA ROOT,0.3,g
,,,,[MPASA094] SALICYLIC ACID,0.1,g
[LBHA] LBHA,1000,g,Fabricar este producto,[MPAQ001] AQUA,630.0,g
,,,,[MPPRG256] PROPYLENE GLYCOL,100.0,g
,,,,[MPGLE263] GLYCERIN,100.0,g
,,,,⚠️ CREAR EN ODOO: PEG-8,50.0,g
,,,,[MPC14259] SODIUM C14-16 OLEFIN SULFONATE,40.0,g
,,,,[MPASA094] SALICYLIC ACID,20.0,g
,,,,⚠️ CREAR EN ODOO: PROBETAINE,20.0,g
,,,,[MPTEA070] TRIETHANOLAMINE,19.0,g
,,,,[MPXAG126] XANTHAN GUM,10.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPMAL201] MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL,0.5,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,0.5,g
[LAH] LAH,1000,g,Fabricar este producto,[MPAQ001] AQUA,665.6,g
,,,,[MPPRG256] PROPYLENE GLYCOL,100.0,g
,,,,[MPGLE263] GLYCERIN,100.0,g
,,,,⚠️ CREAR EN ODOO: PROBETAINE,35.0,g
,,,,[MPC14259] SODIUM C14-16 OLEFIN SULFONATE,35.0,g
,,,,[MPP20056] POLYSORBATE 20,20.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPALA063] LACTIC ACID,10.0,g
,,,,[MPXAG126] XANTHAN GUM,5.0,g
,,,,[MPCAR084] CARBOMER,5.0,g
,,,,[MPBET103] BETAINE,5.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,2.0,g
,,,,[MPAH3122] HYALURONIC ACID 300KD,2.0,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,2.0,g
,,,,[MPAGL080] GLUTAMIC ACID,1.0,g
,,,,[MPBEG102] BETA-GLUCAN,1.0,g
,,,,[MPGLN090] GLYCINE,1.0,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,0.1,g
,,,,[MPAB2100] ALOE BARBADENSIS LEAF JUICE,0.1,g
,,,,[MPGGR133] GLYCYRRHIZA GLABRA ROOT,0.1,g
,,,,[MPHCO104] HYDROLYZED COLLAGEN,0.1,g
[LKJ] LKJ,1000,g,Fabricar este producto,[MPAQ001] AQUA,711.5,g
,,,,[MPGLE263] GLYCERIN,100.0,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,[MPC14259] SODIUM C14-16 OLEFIN SULFONATE,40.0,g
