Producto,Proveedor,Precio,Moneda,Cantidad minima,Plazo de entrega
[MPLAL214] LAUROYL LYSINE,Lyphar,109200,COP,1,30
[MPLAG249] LAURYL GLUCOSIDE,Agenquimicos,106698,COP,1,30
GLYCYRRHIZA GLABRA ROOT EXTRACT,Lyphar,109200,COP,1,30
[MPMAA138] MADECASSIC ACID,Lyphar,4611600,COP,1,30
BUTYROSPERMUM PARKII BUTTER,Agenquimicos,95000,COP,1,30
[MPMI203] MANGIFERA INDICA SEED BUTTER,Agenquimicos,56000,COP,1,30
[MPMDI186] MIRISTRATO DE ISOPROPILO,Agenquimicos,60000,COP,1,30
[MPSIL074] SILICA,Agenquimicos,460019,COP,1,30
[MPM16286] MYRISTOYL HEXAPEPTIDO-16,Lyphar,336000000,COP,1,30
MYRISTOYL NONAPEPTIDE-3,Lyphar,243600000,COP,1,30
MYRISTOYL NONAPEPTIDE-3,Lyphar,243600000,COP,1,30
[MPM17283] MYRISTOYL PENTAPEPTIDE-17,Lyphar,357000000,COP,1,30
ACETYLCYSTEINE,Lyphar,126000,COP,1,30
[MPNAG088] N-ACETYL GLUCOSAMINE,Lyphar,147000,COP,1,30
[MPNAD277] NICOTINAMIDE ADENINE DINUCLEOTIDE,Lyphar,1260000,COP,1,30
[MPNIA156] NIACINAMIDE,Lyphar,58800,COP,1,30
[MPNMN278] NICOTINAMIDE MONONUCLEOTIDE,Lyphar,2310000,COP,1,30
[MPPAA211] P-ANISIC ACID,Lyphar,126000,COP,1,30
[MPPP4281] PALMITOYL PENTAPEPTIDE-4,Lyphar,386400000,COP,1,30
[MPPT7268] PALMITOYL TETRAPEPTIDO-7,Lyphar,273000000,COP,1,30
[MPPT1269] PALMITOYL TRIPEPTIDO-1,Lyphar,273000000,COP,1,30
[MPP38276] PALMITOYL TRIPEPTIDO-38,Lyphar,315000000,COP,1,30
[MPPT5266] PALMITOYL TRIPEPTIDO -5,Lyphar,277200000,COP,1,30
[MPPAT131] PANTENOL POLVO,Lyphar,672000,COP,1,30
[MPPDNR] POLYDEOXYRIBONUCLEOTIDE,Lyphar,117600,COP,1,30
[MPDIM075] DIMETHICONE,Agenquimicos,46000,COP,1,30
PENTYLENE GLYCOL,Lyphar,147000,COP,1,30
[MPPTR028] BM-956 PHENYL TRIMETHICONE,Agenquimicos,98000,COP,1,30
[MPP20056] POLYSORBATE 20,Agenquimicos,41838,COP,1,30
[MPP80057] POLYSORBATE 80,Agenquimicos,42400,COP,1,30
POLOXAMER 188,Lyphar,92400,COP,1,30
[MPPBET] PROBETAINE,Agenquimicos,14971,COP,1,30
PROPANEDIOL,Agenquimicos,53550,COP,1,30
[MPPRG256] PROPYLENE GLYCOL,Agenquimicos,21420,COP,1,30
PureSil Org 01,Agenquimicos,263004,COP,1,30
PVP,Lyphar,79800,COP,1,30
[MPQCR] QUINCREAM,Agenquimicos,231800,COP,1,30
GLYCYRRHIZA GLABRA ROOT EXTRACT,Agenquimicos,115316,COP,1,30
[MPRET291] RETINAL,Lyphar,27300000,COP,1,30
RETINOL,Lyphar,14700000,COP,1,30
[MPSHE193] SALVIA HISPANICA SEED EXTRACT,Lyphar,63000,COP,1,30
[MPSHS191] SALVIA HISPANICA SEED OIL,Lyphar,147000,COP,1,30
[MPSIL074] SILICA,Lyphar,58800,COP,1,30
[MPSIL074] SILICA,Lyphar,126000,COP,1,30
[MPDIM075] DIMETHICONE,Agenquimicos,134770,COP,1,30
[MPDIM075] DIMETHICONE,Agenquimicos,250000,COP,1,30
[MPDIM075] DIMETHICONE,Agenquimicos,34524,COP,1,30
[MPSAP118] SODIUM ASCORBYL PHOSPHATE,Lyphar,411600,COP,1,30
[MPSLS255] SODIUM LAUROYL SARCOSINATE,Lyphar,33600,COP,1,30
SODIUM METHYL COCOYL TAURATE,Lyphar,45360,COP,1,30
[MPSOP016] SODIUM PHYTATE,Lyphar,147000,COP,1,30
[MPPSO013] POTASSIUM SORBATE,Agenquimicos,29400,COP,1,30
SQUALANE,Lyphar,42000,COP,1,30
[MPSDI227] STEARAMIDOPROPYL DIMETHYLAMINE,Lyphar,67200,COP,1,30
MELALEUCA ALTERNIFOLIA LEAF OIL,Lyphar,218400,COP,1,30
