Referencia interna,Nombre,Tipo de producto
MPCAN238,CANDELILLA CERA,Producto almacenable
MPCCT077,CAPRYLIC/CAPRIC TRIGLYCERIDE,Producto almacenable
MPCSA006,CAPRYLOYL SALICYLIC ACID,Producto almacenable
MPCCG208,CAPRYLYL/CAPRYL GLUCOSIDE,Producto almacenable
MPCAR084,CARBOMER,Producto almacenable
MPCOO184,CARYODENDRON ORINOCENSE SEED OIL,Producto almacenable
MPCEL083,CELLULOSE,Producto almacenable
MPCAE143,CENTELLA ASIATICA EXTRACT,Producto almacenable
MPASI144,CENTELLA ASIATICA EXTRACT ASIATICOSIDE 95%,Producto almacenable
MPCEA195,CENTELLA ASIATICA EXTRACT LIQUIDA,Producto almacenable
MPTRI145,CENTELLA ASIATICA EXTRACT TRITERPENOS 80%,Producto almacenable
MPCSO182,CENTELLA ASIATICA OIL,Producto almacenable
MPCEN176,CERAMIDE NP,Producto almacenable
MPCER232,CERESIN,Producto almacenable
MPCEW221,CERESINA WAX,Producto almacenable
MPCAL069,CETEARYL ALCOHOL (AND) CETEARETH-20,Producto almacenable
MPACE098,CETYL ALCOHOL,Producto almacenable
MPCTR007,CETYL TRANEXAMATE,Producto almacenable
MPCRF196,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL,Producto almacenable
MPCHI085,CHITOSAN,Producto almacenable
MPCHO220,CHOLESTEROL VEGETAL,Producto almacenable
MPACC093,CITRIC ACID,Producto almacenable
MPCAF199,CITRUS AURANTIUM AMARA (BITTER ORANGE) FLOWER OIL,Producto almacenable
MPCAA160,CITRUS AURANTIUM AMARA WATER,Producto almacenable
MPCJP202,CITRUS JUNOS PEEL OIL,Producto almacenable
MPCDE066,COCAMIDE DEA,Producto almacenable
MPCOB257,COCAMIDOPROPYL BETAINE,Producto almacenable
MPCGD031,COCO GLUCOSIDO DECYL GLUCOSIDO,Producto almacenable
MPCCA065,COCO-CAPRYLATE/CAPRATE,Producto almacenable
MPCCN234,COCOS NUCIFERA (COCONUT) OIL,Producto almacenable
MPCNO019,COCOS NUCIFERA OIL,Producto almacenable
MPCOS174,COFFEA ARABICA (COFFEE) SEED OIL,Producto almacenable
MPCOR180,COPAIFERA OFFICINALIS RESIN OIL,Producto almacenable
MPCCW230,COPERNICIA CERIFERA (CARNAUBA) WAX,Producto almacenable
MPCCC237,COPERNICIA CERIFERA CERA,Producto almacenable
MPCTP273,COPPER TRIPEPTIDO,Producto almacenable
MPCYC111,CYCLODEXTRIN,Producto almacenable
MPPAN032,D-PANTENOL SÓLIDO,Producto almacenable
MPCAO169,DAUCUS CAROTA SATIVA (CARROT) ROOT OIL,Producto almacenable
MPDGL254,DECYL GLUCOSIDE,Producto almacenable
MPDAD067,DIBUTYL ADIPATE,Producto almacenable
MPDIC261,DICAPRYLYL CARBONATE,Producto almacenable
MPDHH146,DIETHYLAMINO HIDROXYBENZOYL HEXYL BENZOATE,Producto almacenable
MPDBT147,DIETHYLHEXYL BUTAMIDO TRIAZONE,Producto almacenable
MPDIM252,DIISOSTEARYL MALATE,Producto almacenable
MPDIM075,DIMETHICONE,Producto almacenable
MPDII163,DIMETHYL ISOSORBIDE,Producto almacenable
MPDBD271,DIPEPTIDE DIAMINOBUTYROYL BENZYLAMIDE DIACETTE,Producto almacenable
MPECT148,ECTOIN,Producto almacenable
MPEDT008,EDTA DISODICO,Producto almacenable
